recordid				Tax_id				g_id				gname				name1				Nucleotide sequence				Protein sequence				Protein Structures				Temperature class				Growth Temperature				Optimal Growth Temperature
1889				85500				48509				environmental samples				uncultured crenarchaeote VAL20				1				0				0												
1890				85501				48509				environmental samples				uncultured crenarchaeote VAL42				1				0				0												
1891				85502				48509				environmental samples				uncultured crenarchaeote VAL48				1				0				0												
1892				85503				48509				environmental samples				uncultured crenarchaeote VAL29				1				0				0												
1893				85504				48509				environmental samples				uncultured crenarchaeote VAL18				1				0				0												
1894				85505				48509				environmental samples				uncultured crenarchaeote VAL76				1				0				0												
1895				85558				1883				Streptomyces				Streptomyces turgidiscabies				26				3				0												
1896				85561				33807				unclassified alpha proteobacteria (miscellaneous)				EDTA-degrading bacterium BNC1				2				17				0												
1897				85698				222				Achromobacter				Achromobacter xylosoxidans				77				109				24												
1898				85831				816				Bacteroides				Bacteroides acidifaciens				17				0				0												
1899				85963				209				Helicobacter				Helicobacter pylori J99				135				3521				0				mesophilic				37¢XC				
1900				85991				83553				Chlamydophila				Chlamydophila pecorum				41				16				0												
1901				86003				286				Pseudomonas				Pseudomonas sp. HR199				18				51				0												
1902				86027				47926				environmental samples				uncultured beta proteobacterium				1784				33				0												
1903				86473				50423				environmental samples				uncultured gamma proteobacterium				2394				25				0												
1904				86622				45989				Methanoculleus				Methanoculleus sp. MAB1				1				0				0												
1905				86623				45989				Methanoculleus				Methanoculleus sp. MAB2				1				0				0												
1906				86624				45989				Methanoculleus				Methanoculleus sp. MAB3				1				0				0												
1907				86625				45989				Methanoculleus				Methanoculleus sp. BA1				1				0				0												
1908				86662				1386				Bacillus				Bacillus weihenstephanensis				66				64				0				mesophilic								4C~7¢XC
1909				86665				1386				Bacillus				Bacillus halodurans				185				5016				0				thermophilic								40C~55¢XC
1910				87050				68357				environmental samples				Methanobrevibacter sp. R1				1				0				0												
1911				87051				68357				environmental samples				Methanobrevibacter sp. R2				1				0				0												
1912				87052				68357				environmental samples				Methanobrevibacter sp. R3				1				0				0												
1913				87053				68357				environmental samples				Methanobrevibacter sp. R4				1				0				0												
1914				87054				68357				environmental samples				Methanobrevibacter sp. R5				1				0				0												
1915				87055				68358				environmental samples				Methanosphaera sp. R6				1				0				0												
1916				87368				48510				environmental samples				uncultured archaeon ST1-1				1				0				0												
1917				87369				48510				environmental samples				uncultured archaeon ST1-2				1				0				0												
1918				87370				48510				environmental samples				uncultured archaeon ST1-3				1				0				0												
1919				87371				48510				environmental samples				uncultured archaeon ST1-4				1				0				0												
1920				87372				48510				environmental samples				uncultured archaeon ST1-5				1				0				0												
1921				87373				48510				environmental samples				uncultured archaeon ST1-6				1				0				0												
1922				87374				48510				environmental samples				uncultured archaeon ST1-7				1				0				0												
1923				87375				48510				environmental samples				uncultured archaeon ST1-8				1				0				0												
1924				87376				48510				environmental samples				uncultured archaeon ST1-9				1				0				0												
1925				87377				48510				environmental samples				uncultured archaeon ST1-10				1				0				0												
1926				87378				48510				environmental samples				uncultured archaeon ST1-11				1				0				0												
1927				87379				48510				environmental samples				uncultured archaeon ST1-12				1				0				0												
1928				87380				48510				environmental samples				uncultured archaeon ST1-13				1				0				0												
1929				87381				48510				environmental samples				uncultured archaeon ST1-14				1				0				0												
1930				87382				48510				environmental samples				uncultured archaeon ST1-15				1				0				0												
1931				87383				48510				environmental samples				uncultured archaeon ST1-16				1				0				0												
1932				87384				48510				environmental samples				uncultured archaeon ST1-17				1				0				0												
1933				87385				48510				environmental samples				uncultured archaeon ST1-18				1				0				0												
1934				87386				48510				environmental samples				uncultured archaeon ST1-19				1				0				0												
1935				87387				48510				environmental samples				uncultured archaeon ST1-20				1				0				0												
1936				87388				48510				environmental samples				uncultured archaeon ST1-21				1				0				0												
1937				87389				48510				environmental samples				uncultured archaeon ST1-22				1				0				0												
1938				87390				48510				environmental samples				uncultured archaeon ST1-23				1				0				0												
1939				87391				48510				environmental samples				uncultured archaeon ST1-24				1				0				0												
1940				87392				48510				environmental samples				uncultured archaeon ST1-25				1				0				0												
1941				87393				48510				environmental samples				uncultured archaeon ST1-26				1				0				0												
1942				87394				48510				environmental samples				uncultured archaeon ST1-27				1				0				0												
1943				87395				48510				environmental samples				uncultured archaeon ST1-28				1				0				0												
1944				87396				48510				environmental samples				uncultured archaeon ST1-29				1				0				0												
1945				87397				48510				environmental samples				uncultured archaeon ST1-30				1				0				0												
1946				87398				48510				environmental samples				uncultured archaeon S15-1				1				0				0												
1947				87399				48510				environmental samples				uncultured archaeon S15-2				1				0				0												
1948				87400				48510				environmental samples				uncultured archaeon S15-3				1				0				0												
1949				87401				48510				environmental samples				uncultured archaeon S15-4				1				0				0												
1950				87402				48510				environmental samples				uncultured archaeon S15-5				1				0				0												
1951				87403				48510				environmental samples				uncultured archaeon S15-6				1				0				0												
1952				87404				48510				environmental samples				uncultured archaeon S15-7				1				0				0												
1953				87405				48510				environmental samples				uncultured archaeon S15-8				1				0				0												
1954				87406				48510				environmental samples				uncultured archaeon S15-9				1				0				0												
1955				87407				48510				environmental samples				uncultured archaeon S15-10				1				0				0												
1956				87408				48510				environmental samples				uncultured archaeon S15-11				1				0				0												
1957				87409				48510				environmental samples				uncultured archaeon S15-12				1				0				0												
1958				87410				48510				environmental samples				uncultured archaeon S15-13				1				0				0												
1959				87411				48510				environmental samples				uncultured archaeon S15-14				1				0				0												
1960				87412				48510				environmental samples				uncultured archaeon S15-15				1				0				0												
1961				87413				48510				environmental samples				uncultured archaeon S15-16				1				0				0												
1962				87414				48510				environmental samples				uncultured archaeon S15-17				1				0				0												
1963				87415				48510				environmental samples				uncultured archaeon S15-18				1				0				0												
1964				87416				48510				environmental samples				uncultured archaeon S15-19				1				0				0												
1965				87417				48510				environmental samples				uncultured archaeon S15-20				1				0				0												
1966				87418				48510				environmental samples				uncultured archaeon S15-21				1				0				0												
1967				87419				48510				environmental samples				uncultured archaeon S15-22				1				0				0												
1968				87420				48510				environmental samples				uncultured archaeon S15-23				1				0				0												
1969				87421				48510				environmental samples				uncultured archaeon S15-24				1				0				0												
1970				87422				48510				environmental samples				uncultured archaeon S15-25				1				0				0												
1971				87423				48510				environmental samples				uncultured archaeon S15-26				1				0				0												
1972				87424				48510				environmental samples				uncultured archaeon S15-27				1				0				0												
1973				87425				48510				environmental samples				uncultured archaeon S15-28				1				0				0												
1974				87426				48510				environmental samples				uncultured archaeon S15-29				1				0				0												
1975				87427				48510				environmental samples				uncultured archaeon S15-30				1				0				0												
1976				87428				48510				environmental samples				uncultured archaeon S30-11				1				0				0												
1977				87429				48510				environmental samples				uncultured archaeon S30-8				1				0				0												
1978				87430				48510				environmental samples				uncultured archaeon S30-2				1				0				0												
1979				87431				48510				environmental samples				uncultured archaeon S30-7				1				0				0												
1980				87432				48510				environmental samples				uncultured archaeon S30-3				1				0				0												
1981				87433				48510				environmental samples				uncultured archaeon S30-9				1				0				0												
1982				87434				48510				environmental samples				uncultured archaeon S30-5				1				0				0												
1983				87435				48510				environmental samples				uncultured archaeon S30-1				1				0				0												
1984				87436				48510				environmental samples				uncultured archaeon S30-10				1				0				0												
1985				87437				48510				environmental samples				uncultured archaeon S30-6				1				0				0												
1986				87438				48510				environmental samples				uncultured archaeon S30-21				1				0				0												
1987				87439				48510				environmental samples				uncultured archaeon S30-28				1				0				0												
1988				87440				48510				environmental samples				uncultured archaeon S30-26				1				0				0												
1989				87441				48510				environmental samples				uncultured archaeon S30-27				1				0				0												
1990				87442				48510				environmental samples				uncultured archaeon S30-23				1				0				0												
1991				87443				48510				environmental samples				uncultured archaeon S30-25				1				0				0												
1992				87444				48510				environmental samples				uncultured archaeon S30-19				1				0				0												
1993				87445				48510				environmental samples				uncultured archaeon S30-24				1				0				0												
1994				87446				48510				environmental samples				uncultured archaeon S30-22				1				0				0												
1995				87447				48510				environmental samples				uncultured archaeon S30-4				1				0				0												
1996				87448				48510				environmental samples				uncultured archaeon S30-20				1				0				0												
1997				87449				48510				environmental samples				uncultured archaeon S30-18				1				0				0												
1998				87450				48510				environmental samples				uncultured archaeon S30-14				1				0				0												
1999				87451				48510				environmental samples				uncultured archaeon S30-12				1				0				0												
2000				87452				48510				environmental samples				uncultured archaeon S30-15				1				0				0												
2001				87453				48510				environmental samples				uncultured archaeon S30-13				1				0				0												
2002				87454				48510				environmental samples				uncultured archaeon S30-29				1				0				0												
2003				87455				48510				environmental samples				uncultured archaeon S30-17				1				0				0												
2004				87456				48510				environmental samples				uncultured archaeon S30-30				1				0				0												
2005				87457				48510				environmental samples				uncultured archaeon S30-16				1				0				0												
2006				87734				2263				Thermococcus				Thermococcus waimanguensis				1				0				0				hyperthermophilic				85C~90¢XC				
2007				87883				32008				Burkholderia				Burkholderia multivorans				45				91				0				mesophilic								30¢XC
2008				87989				190973				unclassified Methanobrevibacter (miscellaneous)				methanogenic endosymbiont of Nyctotherus ovalis				7				0				0												
2009				87996				190973				unclassified Methanobrevibacter (miscellaneous)				methanogenic endosymbiont of Nyctotherus cordiformis				2				0				0												
2010				87997				190973				unclassified Methanobrevibacter (miscellaneous)				methanogenic endosymbiont of Nyctotherus velox				1				0				0												
2011				88001				39662				unclassified Methanomicrobiaceae				methanogenic endosymbiont of Caenomorpha-like sp. 1				1				0				0												
2012				88002				39662				unclassified Methanomicrobiaceae				methanogenic endosymbiont of Caenomorpha-like sp. 4				1				0				0												
2013				88003				39662				unclassified Methanomicrobiaceae				methanogenic endosymbiont of Caenomorpha-like sp. 8				1				0				0												
2014				88134				39662				unclassified Methanomicrobiaceae				methanogenic endosymbiont of Caenomorpha sp. 10				1				0				0												
2015				88135				39662				unclassified Methanomicrobiaceae				methanogenic endosymbiont of Caenomorpha sp. 2				1				0				0												
2016				88136				39662				unclassified Methanomicrobiaceae				methanogenic endosymbiont of Caenomorpha sp.				1				0				0												
2017				88137				39662				unclassified Methanomicrobiaceae				methanogenic endosymbiont of Brachonella sp.				2				0				0												
2018				88223				93506				unclassified Archaea (miscellaneous)				methanogenic archaeon 3543-10				1				0				0												
2019				88224				93506				unclassified Archaea (miscellaneous)				methanogenic archaeon 6132-1				1				0				0												
2020				88225				93506				unclassified Archaea (miscellaneous)				methanogenic archaeon 3544-9				1				0				0												
2021				88234				48510				environmental samples				uncultured archaeon 'Norris Geyer Basin #1'				1				1				0												
2022				88235				48510				environmental samples				uncultured archaeon 'Norris Geyer Basin #4'				1				1				0												
2023				88236				48510				environmental samples				uncultured archaeon 'Norris Geyer Basin #6'				1				1				0												
2024				88237				48510				environmental samples				uncultured archaeon 'Norris Geyer Basin #8'				1				1				0												
2025				88238				48510				environmental samples				uncultured archaeon 'Norris Geyer Basin #9'				1				1				0												
2026				88239				48510				environmental samples				uncultured archaeon 'Norris Geyer Basin #13'				1				1				0												
2027				88240				48510				environmental samples				uncultured archaeon 'Norris Geyer Basin #14'				1				1				0												
2028				88241				48510				environmental samples				uncultured archaeon 'Norris Geyer Basin #16'				1				1				0												
2029				88242				48510				environmental samples				uncultured archaeon 'Queen's Laundry #28'				1				1				0												
2030				88243				48510				environmental samples				uncultured archaeon 'Obsidian Pool #1'				1				1				0												
2031				88244				48510				environmental samples				uncultured archaeon 'Obsidian Pool #3'				1				1				0												
2032				88245				48510				environmental samples				uncultured archaeon 'Obsidian Pool #4'				1				1				0												
2033				88246				48510				environmental samples				uncultured archaeon 'Obsidian Pool #6'				1				1				0												
2034				88247				48510				environmental samples				uncultured archaeon 'Obsidian Pool #9'				1				1				0												
2035				88248				48510				environmental samples				uncultured archaeon 'Obsidian Pool #10'				1				1				0												
2036				88249				48510				environmental samples				uncultured archaeon 'Antarctica #17'				1				1				0												
2037				88404				2191				Methanomicrobiales				Methanocorpusculaceae				0				0				0												
2038				88723				2236				Halobacteriaceae				Natrinema				0				0				0												
2039				88724				88723				Natrinema				Natrinema versiforme				2				1				0				thermophilic				37C~46¢XC				20C~53¢XC
2040				88773				38063				unclassified Halobacteriales				haloarchaeal coccus LOC-1				3				3				0												
2041				88890				48509				environmental samples				uncultured crenarchaeote FRD0				1				0				0												
2042				89065				286				Pseudomonas				Pseudomonas abietaniphila				1				37				0				mesophilic								30¢XC
2043				89612				74967				unclassified Thermoplasmatales				archaebacterial symbiont RS406				1				0				0												
2044				89618				190973				unclassified Methanobrevibacter (miscellaneous)				methanogenic symbiont RS208				1				0				0												
2045				89619				190973				unclassified Methanobrevibacter (miscellaneous)				methanogenic symbiont RS104				1				0				0												
2046				89620				190973				unclassified Methanobrevibacter (miscellaneous)				methanogenic symbiont RS404				1				0				0												
2047				89621				190973				unclassified Methanobrevibacter (miscellaneous)				methanogenic symbiont RS301				1				0				0												
2048				89622				190973				unclassified Methanobrevibacter (miscellaneous)				methanogenic symbiont RS105				1				0				0												
2049				89624				2239				Halobacterium				Halobacterium sp. 9R				1				0				0												
2050				90142				2301				Thermoplasmatales				Ferroplasmaceae				0				0				0												
2051				90326				48510				environmental samples				uncultured archeon 'KTK 4A'				1				0				0												
2052				90327				48510				environmental samples				uncultured archeon 'KTK 9A'				1				0				0												
2053				90328				48510				environmental samples				uncultured archeon 'KTK 18A'				1				0				0												
2054				90329				48510				environmental samples				uncultured archeon 'KTK 28A'				1				0				0												
2055				90330				48510				environmental samples				uncultured archeon 'KTK 31A'				1				0				0												
2056				90426				2222				Methanosaeta				Methanosaeta sp.				1				0				0												
2057				90427				45989				Methanoculleus				Methanoculleus sp.				1				0				0												
2058				90736				58050				Moritella				Moritella marina				29				66				2				psychrophilic								18¢XC
2059				90909				2263				Thermococcus				Thermococcus waiotapuensis				5				1				0				hyperthermophilic				85¢XC				60C~90¢XC
2060				91306				68359				environmental samples				uncultured euryarchaeote pBRKC22				1				0				0												
2061				91307				68359				environmental samples				uncultured euryarchaeote pBRKC84				1				0				0												
2062				91308				68359				environmental samples				uncultured euryarchaeote pBRKC101				1				0				0												
2063				91309				68359				environmental samples				uncultured euryarchaeote pBRKC112				1				0				0												
2064				91310				68359				environmental samples				uncultured euryarchaeote pBRKC128				1				0				0												
2065				91311				68359				environmental samples				uncultured euryarchaeote pBRKC91				1				0				0												
2066				91312				68359				environmental samples				uncultured euryarchaeote pBRKC134				1				0				0												
2067				91313				48509				environmental samples				uncultured crenarchaeote pBRKC86				1				0				0												
2068				91314				48509				environmental samples				uncultured crenarchaeote pBRKC135				1				0				0												
2069				91315				48509				environmental samples				uncultured crenarchaeote pBRKC129				1				0				0												
2070				91316				48509				environmental samples				uncultured crenarchaeote pBRKC82				1				0				0												
2071				91317				48509				environmental samples				uncultured crenarchaeote pBRKC88				1				0				0												
2072				91318				48509				environmental samples				uncultured crenarchaeote pBRKC108				1				0				0												
2073				91319				48509				environmental samples				uncultured crenarchaeote pBRKC125				1				0				0												
2074				91380				1827				Rhodococcus				Rhodococcus sp. I24				3				16				0												
2075				91559				2206				Methanosarcinaceae				Methanimicrococcus				0				0				0												
2076				91560				91559				Methanimicrococcus				Methanimicrococcus blatticola				2				0				0				mesophilic				39¢XC				20C~40¢XC
2077				91619				2263				Thermococcus				Thermococcus sp. B1001				2				6				0												
2078				91750				47925				environmental samples				uncultured alpha proteobacterium				2432				8				0												
2079				91843				36866				unclassified Enterobacteriaceae (miscellaneous)				secondary endosymbiont of Bemisia tabaci				28				8				0												
2080				91844				114399				whitefly endosymbionts				primary endosymbiont of Bemisia tabaci				47				33				0												
2081				92454				2159				Methanobacteriaceae				unclassified Methanobacteriaceae				0				0				0												
2082				92455				92454				unclassified Methanobacteriaceae				methanogen MIp1 associated with Isotricha prostoma				1				0				0												
2083				92456				92454				unclassified Methanobacteriaceae				methanogen MIp2 associated with Isotricha prostoma				1				0				0												
2084				92457				92454				unclassified Methanobacteriaceae				methanogen MEm1 associated with Eudiplodinium maggii				1				0				0												
2085				92458				92454				unclassified Methanobacteriaceae				methanogen MEm2 associated with Eudiplodinium maggii				1				0				0												
2086				92459				92454				unclassified Methanobacteriaceae				methanogen MEm3 associated with Eudiplodinium maggii				1				0				0												
2087				92460				92454				unclassified Methanobacteriaceae				methanogen MPm1 associated with Polyplastron multivesiculatum				1				0				0												
2088				92461				92454				unclassified Methanobacteriaceae				methanogen MPm2 associated with Polyplastron multivesiculatum				1				0				0												
2089				92462				92454				unclassified Methanobacteriaceae				methanogen MPm3 associated with Polyplastron multivesiculatum				1				0				0												
2090				92487				1030				Thiothrix				Thiothrix eikelboomii				14				0				0												
2091				92706				1716				Corynebacterium				Brevibacterium flavum				32				31				0												
2092				92760				48510				environmental samples				uncultured archaeon SYA-1				1				0				0												
2093				92761				48510				environmental samples				uncultured archaeon SYA-5				1				0				0												
2094				92762				48510				environmental samples				uncultured archaeon SYA-7				1				0				0												
2095				92763				48510				environmental samples				uncultured archaeon SYA-8				1				0				0												
2096				92764				48510				environmental samples				uncultured archaeon SYA-12				1				0				0												
2097				92765				48510				environmental samples				uncultured archaeon SYA-13				1				0				0												
2098				92766				48510				environmental samples				uncultured archaeon SYA-20				1				0				0												
2099				92767				48510				environmental samples				uncultured archaeon SYA-26				1				0				0												
2100				92768				48510				environmental samples				uncultured archaeon SYA-30				1				0				0												
2101				92769				48510				environmental samples				uncultured archaeon SYA-32				1				0				0												
2102				92770				48510				environmental samples				uncultured archaeon SYA-39				1				0				0												
2103				92771				48510				environmental samples				uncultured archaeon SYA-45				1				0				0												
2104				92772				48510				environmental samples				uncultured archaeon SYA-50				1				0				0												
2105				92773				48510				environmental samples				uncultured archaeon SYA-62				1				0				0												
2106				92774				48510				environmental samples				uncultured archaeon SYA-70				1				0				0												
2107				92775				48510				environmental samples				uncultured archaeon SYA-74				1				0				0												
2108				92776				48510				environmental samples				uncultured archaeon SYA-75				1				0				0												
2109				92777				48510				environmental samples				uncultured archaeon SYA-77				1				0				0												
2110				92778				48510				environmental samples				uncultured archaeon SYA-78				1				0				0												
2111				92779				48510				environmental samples				uncultured archaeon SYA-80				1				0				0												
2112				92780				48510				environmental samples				uncultured archaeon SYA-81				1				0				0												
2113				92781				48510				environmental samples				uncultured archaeon SYA-94				1				0				0												
2114				92782				48510				environmental samples				uncultured archaeon SYA-106				1				0				0												
2115				92783				48510				environmental samples				uncultured archaeon SYA-112				1				0				0												
2116				92784				48510				environmental samples				uncultured archaeon SYA-122				1				0				0												
2117				92785				48510				environmental samples				uncultured archaeon SYA-125				1				0				0												
2118				92786				48510				environmental samples				uncultured archaeon SYA-127				1				0				0												
2119				92787				48510				environmental samples				uncultured archaeon SYA-130				1				0				0												
2120				92788				48510				environmental samples				uncultured archaeon SYA-133				1				0				0												
2121				92789				48510				environmental samples				uncultured archaeon SYA-136				1				0				0												
2122				92790				48510				environmental samples				uncultured archaeon SYA-141				1				0				0												
2123				92829				338				Xanthomonas				Xanthomonas axonopodis pv. citri				17				424				0				mesophilic				35C~37¢XC				
2124				92881				68359				environmental samples				uncultured archaeon BA1a1				1				0				0												
2125				92882				68359				environmental samples				uncultured archaeon BA1a2				1				0				0												
2126				92883				68359				environmental samples				uncultured archaeon BA1b1				1				0				0												
2127				92884				68359				environmental samples				uncultured archaeon BA2e8				1				0				0												
2128				92885				68359				environmental samples				uncultured archaeon TA1a4				1				0				0												
2129				92886				68359				environmental samples				uncultured archaeon TA1b12				1				0				0												
2130				92887				68359				environmental samples				uncultured archaeon TA1a6				1				0				0												
2131				92888				68359				environmental samples				uncultured archaeon TA1a9				1				0				0												
2132				92889				68359				environmental samples				uncultured archaeon TA1c9				1				0				0												
2133				92890				68359				environmental samples				uncultured archaeon TA1e6				1				0				0												
2134				92891				68359				environmental samples				uncultured archaeon TA1f2				1				0				0												
2135				92892				68359				environmental samples				uncultured archaeon TA2e12				1				0				0												
2136				92893				68359				environmental samples				uncultured archaeon BA2F4fin				1				0				0												
2137				92894				68359				environmental samples				uncultured archaeon BA2H11fin				1				0				0												
2138				92942				1177				Nostoc				Nostoc linckia				31				49				0												
2139				93062				1279				Staphylococcus				Staphylococcus aureus subsp. aureus COL				1				9				0				mesophilic				30C~37¢XC				
2140				93174				48510				environmental samples				uncultured archaeon CRA12-27cm				1				0				0												
2141				93175				48510				environmental samples				uncultured archaeon CRA13-11cm				1				0				0												
2142				93176				48510				environmental samples				uncultured archaeon CRA7-0cm				1				0				0												
2143				93177				48510				environmental samples				uncultured archaeon CRA7-11cm				1				0				0												
2144				93178				48510				environmental samples				uncultured archaeon CRA8-11cm				1				0				0												
2145				93179				48510				environmental samples				uncultured archaeon CRA8-27cm				1				0				0												
2146				93180				48510				environmental samples				uncultured archaeon CRA9-27cm				1				0				0												
2147				93181				48510				environmental samples				uncultured archaeon CRA20-0cm				1				0				0												
2148				93182				48510				environmental samples				uncultured archaeon CRA36-0cm				1				0				0												
2149				93183				48510				environmental samples				uncultured archaeon CRA4-23cm				1				0				0												
2150				93184				48510				environmental samples				uncultured archaeon CRA8-23cm				1				0				0												
2151				93185				48510				environmental samples				uncultured archaeon APA1-0cm				1				0				0												
2152				93186				48510				environmental samples				uncultured archaeon APA2-17cm				1				0				0												
2153				93187				48510				environmental samples				uncultured archaeon APA3-0cm				1				0				0												
2154				93188				48510				environmental samples				uncultured archaeon APA3-11cm				1				0				0												
2155				93189				48510				environmental samples				uncultured archaeon APA4-0cm				1				0				0												
2156				93190				48510				environmental samples				uncultured archaeon APA6-17cm				1				0				0												
2157				93191				48510				environmental samples				uncultured archaeon APA7-17cm				1				0				0												
2158				93192				48510				environmental samples				uncultured archaeon ACA1-0cm				1				0				0												
2159				93193				48510				environmental samples				uncultured archaeon ACA1-9cm				1				0				0												
2160				93194				48510				environmental samples				uncultured archaeon ACA10-0cm				1				0				0												
2161				93195				48510				environmental samples				uncultured archaeon ACA16-9cm				1				0				0												
2162				93196				48510				environmental samples				uncultured archaeon ACA17-9cm				1				0				0												
2163				93197				48510				environmental samples				uncultured archaeon ACA3-0cm				1				0				0												
2164				93198				48510				environmental samples				uncultured archaeon ACA4-0cm				1				0				0												
2165				93373				469				Acinetobacter				Acinetobacter sp. NCIMB9871				2				16				0												
2166				93506				29294				unclassified Archaea				unclassified Archaea (miscellaneous)				0				0				0												
2167				93507				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon ET1-1				1				0				0												
2168				93508				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon ET1-2				1				0				0												
2169				93509				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon ET1-3				1				0				0												
2170				93510				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon ET1-4				1				0				0												
2171				93511				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon ET1-5				1				0				0												
2172				93512				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon ET1-6				1				0				0												
2173				93513				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon ET1-7				1				0				0												
2174				93514				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon ET1-8				1				0				0												
2175				93515				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon ET1-9				1				0				0												
2176				93516				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon ET1-10				1				0				0												
2177				93517				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E15-1				1				0				0												
2178				93518				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E15-2				1				0				0												
2179				93519				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E15-3				1				0				0												
2180				93520				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E15-4				1				0				0												
2181				93521				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E15-5				1				0				0												
2182				93522				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E15-6				1				0				0												
2183				93523				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E15-7				1				0				0												
2184				93524				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E15-8				1				0				0												
2185				93525				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E15-9				1				0				0												
2186				93526				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E15-10				1				0				0												
2187				93527				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E30-1				1				0				0												
2188				93528				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E30-2				1				0				0												
2189				93529				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E30-3				1				0				0												
2190				93530				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E30-4				1				0				0												
2191				93531				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E30-5				1				0				0												
2192				93532				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E30-6				1				0				0												
2193				93533				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E30-7				1				0				0												
2194				93534				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E30-8				1				0				0												
2195				93535				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E30-9				1				0				0												
2196				93536				93506				unclassified Archaea (miscellaneous)				anaerobic methanogenic archaeon E30-10				1				0				0												
2197				93724				68357				environmental samples				Methanobrevibacter sp. LRsD2				1				0				0												
2198				93725				68357				environmental samples				Methanobrevibacter sp. LRsD3				1				0				0												
2199				93726				68357				environmental samples				Methanobrevibacter sp. LRsM1				1				0				0												
2200				93727				68357				environmental samples				Methanobrevibacter sp. RsW2				1				0				0												
2201				93728				68357				environmental samples				Methanobrevibacter sp. RsW10				1				0				0												
2202				93729				68357				environmental samples				Methanobrevibacter sp. RsI4				1				0				0												
2203				93730				68357				environmental samples				Methanobrevibacter sp. RsI12				1				0				0												
2204				93731				68357				environmental samples				Methanobrevibacter sp. RsI17				1				0				0												
2205				93732				68357				environmental samples				Methanobrevibacter sp. LHD2				1				0				0												
2206				93733				68357				environmental samples				Methanobrevibacter sp. LHD12				1				0				0												
2207				93734				68357				environmental samples				Methanobrevibacter sp. LHM8				1				0				0												
2208				93735				68357				environmental samples				Methanobrevibacter sp. HW1				1				0				0												
2209				93736				68357				environmental samples				Methanobrevibacter sp. HW2				1				0				0												
2210				93737				68357				environmental samples				Methanobrevibacter sp. HW3				1				0				0												
2211				93738				68357				environmental samples				Methanobrevibacter sp. HI1				1				0				0												
2212				93739				68357				environmental samples				Methanobrevibacter sp. HI26				1				0				0												
2213				93740				68357				environmental samples				Methanobrevibacter sp. HI28				1				0				0												
2214				93927				2263				Thermococcus				Thermococcus sp. CKU-1				1				0				0												
2215				93928				2263				Thermococcus				Thermococcus sp. CKU-199				2				0				0												
2216				94625				528				Ochrobactrum				Ochrobactrum intermedium				17				0				0												
2217				94694				2273				Desulfurococcus				Desulfurococcus amylolyticus				8				2				0				hyperthermophilic				90C~92¢XC				
2218				94695				183939				Methanococci				Methanosarcinales				0				0				0												
2219				95173				48510				environmental samples				uncultured archaeon pHGPA13				1				1				0												
2220				95656				2129				Ureaplasma				Ureaplasma parvum serovar 1				10				14				0				mesophilic				37¢XC				
2221				95657				2129				Ureaplasma				Ureaplasma urealyticum serovar 2				8				12				0				mesophilic				37¢XC				
2222				95658				2129				Ureaplasma				Ureaplasma urealyticum serovar 4				8				12				0				mesophilic				37¢XC				
2223				95659				2129				Ureaplasma				Ureaplasma urealyticum serovar 5				8				12				0				mesophilic				37¢XC				
2224				95660				2129				Ureaplasma				Ureaplasma parvum serovar 6				10				14				0				mesophilic				37¢XC				
2225				95661				2129				Ureaplasma				Ureaplasma urealyticum serovar 7				8				12				0				mesophilic				37¢XC				
2226				95662				2129				Ureaplasma				Ureaplasma urealyticum serovar 8				8				12				0				mesophilic				37¢XC				
2227				95663				2129				Ureaplasma				Ureaplasma urealyticum serovar 9				8				12				0				mesophilic				37¢XC				
